time,RHI1_X,RHI1_Y,RHI1_Z,RHI2_X,RHI2_Y,RHI2_Z,RHI3_X,RHI3_Y,RHI3_Z,RHI4_X,RHI4_Y,RHI4_Z,RHI5_X,RHI5_Y,RHI5_Z,RHI6_X,RHI6_Y,RHI6_Z,RTHI1_X,RTHI1_Y,RTHI1_Z,RIF1_X,RIF1_Y,RIF1_Z,RTF1_X,RTF1_Y,RTF1_Z,RRF1_X,RRF1_Y,RRF1_Z,RPF1_X,RPF1_Y,RPF1_Z,RTHI2_X,RTHI2_Y,RTHI2_Z,RIF2_X,RIF2_Y,RIF2_Z,RTF2_X,RTF2_Y,RTF2_Z,RRF2_X,RRF2_Y,RRF2_Z,RPF2_X,RPF2_Y,RPF2_Z,RTHI3_X,RTHI3_Y,RTHI3_Z,RIF3_X,RIF3_Y,RIF3_Z,RTF3_X,RTF3_Y,RTF3_Z,RRF3_X,RRF3_Y,RRF3_Z,RPF3_X,RPF3_Y,RPF3_Z
195.7331,-0.0338537,0.2316566,-0.01127395,-0.02841334,0.2531683,0.05313096,-0.04864107,0.2501322,0.05312529,-0.06700979,0.2416023,0.04822375,-0.08231518,0.2303273,0.04267622,-0.06404097,0.2171508,-0.006058299,0.01659711,0.2263185,0.01037007,-0.02472668,0.2684995,0.08959065,-0.04943865,0.2637314,0.09640111,-0.0742505,0.2538783,0.08763373,-0.09492788,0.2395708,0.07174138,0.03395178,0.2311321,0.03599271,-0.02143625,0.2621005,0.110743,-0.04355328,0.2548958,0.1209671,-0.07091019,0.2455207,0.1120062,-0.0940207,0.234668,0.08929359,0.03227699,0.2289366,0.05230136,-0.0198519,0.2516728,0.1167952,-0.03861594,0.2434938,0.1265785,-0.06565287,0.234442,0.1175872,-0.08771398,0.2256955,0.09493589
195.7369,-0.03387141,0.2316573,-0.01128418,-0.02849512,0.2531164,0.05314362,-0.04872207,0.250079,0.05311605,-0.06708348,0.24155,0.04818742,-0.08237685,0.2302727,0.042619,-0.06405433,0.2171371,-0.006108386,0.01653606,0.2263617,0.01038233,-0.02482127,0.2684176,0.08960655,-0.0494902,0.2635727,0.09641711,-0.07431076,0.2537143,0.08762365,-0.09496312,0.2394195,0.07171843,0.0338705,0.2311028,0.03602834,-0.02153098,0.2619479,0.1107304,-0.0435485,0.2546463,0.1209327,-0.07088082,0.245241,0.1119378,-0.09395558,0.2344297,0.08923708,0.03225492,0.2288249,0.05232937,-0.0199453,0.2515128,0.116762,-0.03858506,0.2432259,0.1264807,-0.06557553,0.2341491,0.1174432,-0.08758856,0.2254532,0.09480328
195.7554,-0.03387141,0.2316573,-0.01128418,-0.02849512,0.2531164,0.05314362,-0.04872207,0.250079,0.05311605,-0.06708348,0.24155,0.04818742,-0.08237685,0.2302727,0.042619,-0.06405433,0.2171371,-0.006108386,0.01653606,0.2263617,0.01038233,-0.02482127,0.2684176,0.08960655,-0.0494902,0.2635727,0.09641711,-0.07431076,0.2537143,0.08762365,-0.09496312,0.2394195,0.07171843,0.0338705,0.2311028,0.03602834,-0.02153098,0.2619479,0.1107304,-0.0435485,0.2546463,0.1209327,-0.07088082,0.245241,0.1119378,-0.09395558,0.2344297,0.08923708,0.03225492,0.2288249,0.05232937,-0.0199453,0.2515128,0.116762,-0.03858506,0.2432259,0.1264807,-0.06557553,0.2341491,0.1174432,-0.08758856,0.2254532,0.09480328
195.7569,-0.03385638,0.2315758,-0.01126758,-0.02851495,0.2529926,0.05317719,-0.04874026,0.249946,0.05313666,-0.06709495,0.241412,0.04819494,-0.08237842,0.2301286,0.04261374,-0.06403071,0.2170334,-0.006115057,0.01652737,0.2262633,0.01043126,-0.02486224,0.2682887,0.08963986,-0.04952255,0.2634008,0.09644216,-0.07433906,0.2535158,0.08764165,-0.09496711,0.2391994,0.07173196,0.03386205,0.2309256,0.03608879,-0.02157996,0.2617784,0.1107488,-0.04354172,0.2544331,0.1209298,-0.0708409,0.2449747,0.1119204,-0.09388386,0.2341401,0.08922487,0.03228518,0.2285773,0.05238218,-0.01999509,0.2513464,0.116782,-0.03855059,0.2430118,0.1264497,-0.0654925,0.2338855,0.11739,-0.08747205,0.2251677,0.09474703
195.7771,-0.034026,0.2321329,-0.01133388,-0.02840375,0.253055,0.05324987,-0.04861362,0.2499271,0.05329226,-0.06693766,0.2413292,0.04839008,-0.08219199,0.2300009,0.04281093,-0.06407154,0.2173845,-0.00612944,0.01622651,0.2264517,0.01031123,-0.02513566,0.2684769,0.08959032,-0.04993533,0.2634275,0.09648662,-0.07475492,0.2534347,0.08767141,-0.09534373,0.2390531,0.0716545,0.03342354,0.2309055,0.03604714,-0.02193879,0.2618113,0.1106025,-0.04391158,0.2542816,0.1208573,-0.07120271,0.2446794,0.1118385,-0.09421022,0.233841,0.08908494,0.03177408,0.2285318,0.05230683,-0.02031917,0.251374,0.1165606,-0.03879345,0.2429074,0.1263299,-0.06571763,0.2336331,0.1172458,-0.08767697,0.224942,0.09457831
195.7771,-0.034026,0.2321329,-0.01133388,-0.02840375,0.253055,0.05324987,-0.04861362,0.2499271,0.05329226,-0.06693766,0.2413292,0.04839008,-0.08219199,0.2300009,0.04281093,-0.06407154,0.2173845,-0.00612944,0.01622651,0.2264517,0.01031123,-0.02513566,0.2684769,0.08959032,-0.04993533,0.2634275,0.09648662,-0.07475492,0.2534347,0.08767141,-0.09534373,0.2390531,0.0716545,0.03342354,0.2309055,0.03604714,-0.02193879,0.2618113,0.1106025,-0.04391158,0.2542816,0.1208573,-0.07120271,0.2446794,0.1118385,-0.09421022,0.233841,0.08908494,0.03177408,0.2285318,0.05230683,-0.02031917,0.251374,0.1165606,-0.03879345,0.2429074,0.1263299,-0.06571763,0.2336331,0.1172458,-0.08767697,0.224942,0.09457831
195.7887,-0.034026,0.2321329,-0.01133388,-0.02840375,0.253055,0.05324987,-0.04861362,0.2499271,0.05329226,-0.06693766,0.2413292,0.04839008,-0.08219199,0.2300009,0.04281093,-0.06407154,0.2173845,-0.00612944,0.01622651,0.2264517,0.01031123,-0.02513566,0.2684769,0.08959032,-0.04993533,0.2634275,0.09648662,-0.07475492,0.2534347,0.08767141,-0.09534373,0.2390531,0.0716545,0.03342354,0.2309055,0.03604714,-0.02193879,0.2618113,0.1106025,-0.04391158,0.2542816,0.1208573,-0.07120271,0.2446794,0.1118385,-0.09421022,0.233841,0.08908494,0.03177408,0.2285318,0.05230683,-0.02031917,0.251374,0.1165606,-0.03879345,0.2429074,0.1263299,-0.06571763,0.2336331,0.1172458,-0.08767697,0.224942,0.09457831
195.7971,-0.03409467,0.2319306,-0.01129159,-0.02856353,0.2528878,0.05328811,-0.04877533,0.2497633,0.05330053,-0.06710126,0.2411757,0.04837349,-0.0823513,0.229853,0.04277628,-0.06416029,0.2171986,-0.006127401,0.01619236,0.2263061,0.01041594,-0.02527853,0.2682692,0.08968282,-0.05002822,0.2632117,0.09653763,-0.07478391,0.2531732,0.08772736,-0.09532696,0.238807,0.07173216,0.03339974,0.2306626,0.03618094,-0.02209484,0.2616595,0.1107365,-0.04404122,0.254141,0.120958,-0.07124022,0.2444204,0.111904,-0.09416237,0.2335498,0.08914889,0.03178217,0.2281686,0.05243494,-0.02048215,0.2512527,0.1167689,-0.03894612,0.2427796,0.1264882,-0.06578981,0.2333717,0.1173466,-0.08766331,0.2246225,0.09463828
195.8109,-0.03409467,0.2319306,-0.01129159,-0.02856353,0.2528878,0.05328811,-0.04877533,0.2497633,0.05330053,-0.06710126,0.2411757,0.04837349,-0.0823513,0.229853,0.04277628,-0.06416029,0.2171986,-0.006127401,0.01619236,0.2263061,0.01041594,-0.02527853,0.2682692,0.08968282,-0.05002822,0.2632117,0.09653763,-0.07478391,0.2531732,0.08772736,-0.09532696,0.238807,0.07173216,0.03339974,0.2306626,0.03618094,-0.02209484,0.2616595,0.1107365,-0.04404122,0.254141,0.120958,-0.07124022,0.2444204,0.111904,-0.09416237,0.2335498,0.08914889,0.03178217,0.2281686,0.05243494,-0.02048215,0.2512527,0.1167689,-0.03894612,0.2427796,0.1264882,-0.06578981,0.2333717,0.1173466,-0.08766331,0.2246225,0.09463828
195.8171,-0.03421948,0.2317791,-0.0112119,-0.02873612,0.2527866,0.05335552,-0.04894524,0.2496397,0.05335853,-0.06726509,0.2410359,0.04842978,-0.08250076,0.2296962,0.04283128,-0.06427655,0.2170243,-0.006055506,0.01610121,0.2261961,0.01054654,-0.02541228,0.2681675,0.08977389,-0.05011188,0.2631051,0.09660752,-0.07483103,0.2530076,0.08782504,-0.09533422,0.2385884,0.07186947,0.03332239,0.2304538,0.03632855,-0.02218591,0.2616349,0.1108599,-0.04410548,0.2541372,0.1210681,-0.07125527,0.244326,0.1120285,-0.09413708,0.2333403,0.08928612,0.03173051,0.2278457,0.05257175,-0.02054076,0.2512707,0.1169686,-0.03900192,0.2428086,0.1266622,-0.06580074,0.2333019,0.1175206,-0.08764445,0.2244139,0.09478284
